Country,Year,GDP per Capita (US$),Population
Czechia,2000,5500,10200000
Czechia,2001,5800,10230000
Czechia,2002,6100,10250000
Czechia,2003,6500,10270000
Czechia,2004,7000,10290000
Czechia,2005,7500,10310000
Czechia,2006,8000,10330000
Czechia,2007,8500,10350000
Czechia,2008,9000,10370000
Czechia,2009,8800,10390000
Czechia,2010,9200,10410000
Czechia,2011,9500,10430000
Czechia,2012,9800,10450000
Czechia,2013,10000,10470000
Czechia,2014,10500,10490000
Czechia,2015,11000,10510000
Slovakia,2000,4000,5400000
Slovakia,2001,4200,5420000
Slovakia,2002,4500,5440000
Slovakia,2003,4800,5460000
Slovakia,2004,5100,5480000
Slovakia,2005,5500,5500000
Slovakia,2006,6000,5520000
Slovakia,2007,6500,5540000
Slovakia,2008,7000,5560000
Slovakia,2009,6800,5580000
Slovakia,2010,7200,5600000
Slovakia,2011,7500,5620000
Slovakia,2012,7800,5640000
Slovakia,2013,8000,5660000
Slovakia,2014,8500,5680000
Slovakia,2015,9000,5700000
United Kingdom,2000,25000,58900000
United Kingdom,2001,26000,59100000
United Kingdom,2002,27000,59300000
United Kingdom,2003,28000,59500000
United Kingdom,2004,29000,59700000
United Kingdom,2005,30000,59900000
United Kingdom,2006,31000,60100000
United Kingdom,2007,32000,60300000
United Kingdom,2008,33000,60500000
United Kingdom,2009,32500,60700000
United Kingdom,2010,34000,60900000
United Kingdom,2011,35000,61100000
United Kingdom,2012,36000,61300000
United Kingdom,2013,37000,61500000
United Kingdom,2014,38000,61700000
United Kingdom,2015,39000,61900000
United States,2000,36000,282200000
United States,2001,37500,285000000
United States,2002,38000,287500000
United States,2003,39000,290000000
United States,2004,40000,292500000
United States,2005,41000,295000000
United States,2006,42000,297500000
United States,2007,43000,300000000
United States,2008,44000,302500000
United States,2009,43500,305000000
United States,2010,45000,307500000
United States,2011,46000,310000000
United States,2012,47000,312500000
United States,2013,48000,315000000
United States,2014,49000,317500000
United States,2015,50000,320000000
